"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tries deploying an arm64 charm on amd64 host.","51540","test_arm_charm_on_amd_host","tests.integration","2025-10-22","passed","2025-10-22","","test_architecture","",""
"Test log rotation.","107526","test_log_rotation","tests.integration","2025-10-22","passed","2025-10-22","","test_log_rotation","",""
"","234815","test_ubuntu_pro","tests.integration","2025-10-22","passed","2025-10-22","","test_subordinate_charms","",""
"Test data integrator along with TLS operator","36117","test_external_connectivity_with_data_integrator_and_tls","tests.integration","2025-10-22","passed","2025-10-22","","test_data_integrator","",""
"Test encryption when backend database is using TLS.","101165","test_deploy_and_relate","tests.integration","2025-10-22","passed","2025-10-22","","test_tls","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","314924","test_upgrade_from_edge","tests.integration","2025-10-22","passed","2025-10-22","","test_upgrade","",""
"Ensure removal of VIP results in connection through data-integrator.","101159","test_remove_vip","tests.integration","2025-10-22","passed","2025-10-22","","test_hacluster","",""
"Test the database relation.","1036945","test_database_relation","tests.integration","2025-10-22","broken","2025-10-22","","test_charm","",""
"Test endpoints when mysql-router-k8s is related to a TLS operator.","135058","test_expose_external_with_tls","tests.integration","2025-10-22","passed","2025-10-22","","test_expose_external","",""
"Test that the exporter endpoint works when related with TLS","238239","test_exporter_endpoint","tests.integration","2025-10-22","passed","2025-10-22","","test_exporter_with_tls","",""
"","61054","test_landscape_client","tests.integration","2025-10-22","passed","2025-10-22","","test_subordinate_charms","",""
"Test the expose-external config option.","168600","test_expose_external","tests.integration","2025-10-22","passed","2025-10-22","","test_expose_external","",""
"Test the failover of the hacluster leader.","70565","test_hacluster_failover","tests.integration","2025-10-22","passed","2025-10-22","","test_hacluster","",""
"Test encryption when backend database is using TLS.","37652","test_connected_encryption","tests.integration","2025-10-22","passed","2025-10-22","","test_tls","",""
"Test external connectivity and VIP with data-integrator hacluster.","856609","test_external_connectivity_vip_with_hacluster","tests.integration","2025-10-22","passed","2025-10-22","","test_hacluster","",""
"Test encryption when backend database is using TLS.","265745","test_external_connectivity_with_data_integrator","tests.integration","2025-10-22","passed","2025-10-22","","test_data_integrator","",""
"Test the database relation.","322820","test_database_relation","tests.integration","2025-10-22","passed","2025-10-22","","test_database","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    Furthermore, the previous test will refresh the charm till revision 102.
    This test will refresh the charm till the revision in src/snap.py, thus avoiding
    no-ops.
    ","147830","test_fail_and_rollback","tests.integration","2025-10-22","passed","2025-10-22","","test_upgrade","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","176100","test_deploy_edge","tests.integration","2025-10-22","passed","2025-10-22","","test_upgrade","",""
"Test encryption when backend database is using TLS.","264290","test_build_deploy_and_relate","tests.integration","2025-10-22","passed","2025-10-22","","test_tls","",""
"Test that exporter endpoint is functional.","158593","test_exporter_endpoint","tests.integration","2025-10-22","passed","2025-10-22","","test_exporter","",""
"Tries deploying an amd64 charm on arm64 host.","0","test_amd_charm_on_arm_host","tests.integration","2025-10-22","skipped","2025-10-22","","test_architecture","",""
"Ensure that mysqlrouter is externally accessible with TLS integration.","178816","test_tls_along_with_ha_cluster","tests.integration","2025-10-22","passed","2025-10-22","","test_hacluster","",""
