"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test the database relation.","488896","test_database_relation","tests.integration.integration","2026-07-09","passed","2026-07-09","","test_charm","",""
"Tries deploying an amd64 charm on arm64 host.","0","test_amd_charm_on_arm_host","tests.integration.integration","2026-07-09","skipped","2026-07-09","","test_architecture","",""
"Test the database relation.","596527","test_database_relation","tests.integration.integration","2026-07-09","passed","2026-07-09","","test_database","",""
"Test encryption when backend database is using TLS.","52672","test_connected_encryption","tests.integration.integration","2026-07-09","passed","2026-07-09","","test_tls","",""
"Test that the exporter endpoint works when related with TLS","564152","test_exporter_endpoint","tests.integration.integration","2026-07-09","passed","2026-07-09","","test_exporter_with_tls","",""
"Tests Ubuntu pro charm alongside the MySQL charms.","","test_ubuntu_pro","tests.integration.integration","","unknown","","","test_subordinate_charms","",""
"Test connectivity when backend database is using TLS.","","test_data_integrator_connectivity_with_tls","tests.integration.integration","","unknown","","","test_data_integrator","",""
"Test the failover of the ha-cluster leader.","","test_ha_cluster_failover","tests.integration.integration","","unknown","","","test_hacluster","",""
"Test encryption when backend database is using TLS.","317540","test_deploy_and_relate","tests.integration.integration","2026-07-09","passed","2026-07-09","","test_tls","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","214599","test_deploy_edge","tests.integration.integration","2026-07-09","passed","2026-07-09","","test_upgrade","",""
"Test the lack of VIP in the MySQL Router application.","","test_router_without_vip","tests.integration.integration","","unknown","","","test_hacluster","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","613795","test_upgrade_from_edge","tests.integration.integration","2026-07-09","passed","2026-07-09","","test_upgrade","",""
"Test the certificates of the MySQL Router application.","","test_router_certificates","tests.integration.integration","","unknown","","","test_hacluster","",""
"Test external connectivity with data-integrator ha-cluster.","","test_external_connectivity_with_ha_cluster","tests.integration.integration","","unknown","","","test_hacluster","",""
"Test a refresh failure and its rollback.","239454","test_fail_and_rollback","tests.integration.integration","2026-07-09","passed","2026-07-09","","test_upgrade","",""
"Tests Landscape client charm alongside the MySQL charms.","","test_landscape_client","tests.integration.integration","","unknown","","","test_subordinate_charms","",""
"Tries deploying an arm64 charm on amd64 host.","21723","test_arm_charm_on_amd_host","tests.integration.integration","2026-07-09","passed","2026-07-09","","test_architecture","",""
"Test log rotation.","186573","test_log_rotation","tests.integration.integration","2026-07-09","passed","2026-07-09","","test_log_rotation","",""
"Test connectivity when backend database is using Data integrator.","","test_data_integrator_connectivity","tests.integration.integration","","unknown","","","test_data_integrator","",""
"Test endpoints when mysql-router-k8s is related to a TLS operator.","67251","test_expose_external_with_tls","tests.integration.integration","2026-07-09","passed","2026-07-09","","test_expose_external","",""
"Test that exporter endpoint is functional.","420611","test_exporter_endpoint","tests.integration.integration","2026-07-09","passed","2026-07-09","","test_exporter","",""
"Test the expose-external config option.","156397","test_expose_external","tests.integration.integration","2026-07-09","passed","2026-07-09","","test_expose_external","",""
