"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test endpoints when mysql-router-k8s is related to a TLS operator.","59090","test_expose_external_with_tls","tests.integration.integration","2026-08-24","passed","2026-08-24","","test_expose_external","",""
"Tries deploying an arm64 charm on amd64 host.","22005","test_arm_charm_on_amd_host","tests.integration.integration","2026-08-24","passed","2026-08-24","","test_architecture","",""
"Test the expose-external config option.","139495","test_expose_external","tests.integration.integration","2026-08-24","passed","2026-08-24","","test_expose_external","",""
"Tests Landscape client charm alongside the MySQL charms.","1203811","test_landscape_client","tests.integration.integration","2026-08-24","broken","2026-08-24","","test_subordinate_charms","",""
"Test log rotation.","124009","test_log_rotation","tests.integration.integration","2026-08-24","passed","2026-08-24","","test_log_rotation","",""
"Tests Ubuntu pro charm alongside the MySQL charms.","273642","test_ubuntu_pro","tests.integration.integration","2026-08-24","passed","2026-08-24","","test_subordinate_charms","",""
"Test that exporter endpoint is functional.","419581","test_exporter_endpoint","tests.integration.integration","2026-08-24","passed","2026-08-24","","test_exporter","",""
"Test the database relation.","440746","test_database_relation","tests.integration.integration","2026-08-24","passed","2026-08-24","","test_database","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","124337","test_deploy_edge","tests.integration.integration","2026-08-24","passed","2026-08-24","","test_upgrade_from_v2","",""
"Test external connectivity with data-integrator ha-cluster.","1417774","test_external_connectivity_with_ha_cluster","tests.integration.integration","2026-08-24","passed","2026-08-24","","test_hacluster","",""
"Test the shared-db legacy relation.","543513","test_shared_db","tests.integration.integration","2026-08-24","passed","2026-08-24","","test_shared_db","",""
"Upgrade mysqlrouter from v2 to v3 while ensuring continuous writes incrementing.","130350","test_upgrade_from_v2","tests.integration.integration","2026-08-24","passed","2026-08-24","","test_upgrade_from_v2","",""
"Test connectivity when backend database is using TLS.","35986","test_data_integrator_connectivity_with_tls","tests.integration.integration","2026-08-24","passed","2026-08-24","","test_data_integrator","",""
"Tries deploying an amd64 charm on arm64 host.","0","test_amd_charm_on_arm_host","tests.integration.integration","2026-08-24","skipped","2026-08-24","","test_architecture","",""
"Test encryption when backend database is using TLS.","35117","test_connected_encryption","tests.integration.integration","2026-08-24","passed","2026-08-24","","test_tls","",""
"Test the lack of VIP in the MySQL Router application.","92091","test_router_without_vip","tests.integration.integration","2026-08-24","passed","2026-08-24","","test_hacluster","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","299630","test_upgrade_from_edge","tests.integration.integration","2026-08-24","passed","2026-08-24","","test_upgrade","",""
"Test encryption when backend database is using TLS.","120883","test_deploy_and_relate","tests.integration.integration","2026-08-24","passed","2026-08-24","","test_tls","",""
"Test that the exporter endpoint works when related with TLS","439676","test_exporter_endpoint","tests.integration.integration","2026-08-24","passed","2026-08-24","","test_exporter_with_tls","",""
"Test the failover of the ha-cluster leader.","15040","test_ha_cluster_failover","tests.integration.integration","2026-08-24","passed","2026-08-24","","test_hacluster","",""
"Test a refresh failure and its rollback.","168803","test_fail_and_rollback","tests.integration.integration","2026-08-24","passed","2026-08-24","","test_upgrade","",""
"Test connectivity when backend database is using Data integrator.","261504","test_data_integrator_connectivity","tests.integration.integration","2026-08-24","passed","2026-08-24","","test_data_integrator","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","173570","test_deploy_edge","tests.integration.integration","2026-08-24","passed","2026-08-24","","test_upgrade","",""
"Test the certificates of the MySQL Router application.","140394","test_router_certificates","tests.integration.integration","2026-08-24","passed","2026-08-24","","test_hacluster","",""
"Test the database relation.","392934","test_database_relation","tests.integration.integration","2026-08-24","passed","2026-08-24","","test_charm","",""
